doi,category,confidence,prisma_reason,basis,evidence
10.1109/jiot.2025.3586090,NON_MEDICAL,firm,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","5G/IoT network telemetry (Lumos5G, WUSTL-EHMS healthcare-IoT, PS-IoT); network data, not medical imaging"
10.1109/tnsre.2024.3385336,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author",KDEF/SFEW/FER facial-expression image sets; non-clinical faces (affect recognition)
10.1155/acis/1176614,NON_MEDICAL,firm,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author",Mirai/N-BaIoT IoT-botnet network data; non-medical
10.18280/ts.420531,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","mixed benchmark: natural + aerial + medical images; general FRQI edge-detection, medical use incidental -- protocol §5.3 open decision"
10.3390/biom12111576,NON_MEDICAL,firm,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author","ImageNet ants/bees (non-medical images) + Wisconsin Breast Cancer (FNA cytology-derived, but tabular); primary image dataset is non-medical -> excludable regardless"
10.3934/math.2025499,NON_MEDICAL,borderline,not a medical-imaging study (non-medical data),"Step-5 other-modality adjudication, ratified by corresponding author",single non-medical demonstration image (Ashurbanipal); quantum image-rep method
10.1007/s11227-025-07789-4,SECONDARY,firm,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author",SoK / survey; no primary dataset
10.1016/j.neucom.2023.01.049,SECONDARY,firm,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author",title = 'A survey'; no dataset
10.1016/j.patter.2025.101236,SECONDARY,borderline,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author","reads as perspective; task=other, no dataset [GUESS: confirm in abstract]"
10.1038/s41585-025-01058-y,SECONDARY,borderline,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author","reads as perspective ('quantum leap'); task=other, no dataset [GUESS]"
10.1109/access.2022.3195044,SECONDARY,firm,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author",title = 'A Systematic Review'
10.1177/15330338231215214,SECONDARY,borderline,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author","reads as review; task=other, no dataset [GUESS]"
10.3390/medsci12040067,SECONDARY,borderline,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author","reads as overview; task=other, no dataset [GUESS]"
10.7759/cureus.67486,SECONDARY,borderline,secondary study (review / perspective),"Step-5 other-modality adjudication, ratified by corresponding author","reads as review; task=other, no dataset [GUESS]"
10.1016/j.ejca.2025.115632,secondary/review,high,secondary/review,Journal-labelled 'Current Perspective'; no implementation,Abstract entirely conditional; no dataset/results/circuits; Eur J Cancer 226(2025)115632
