stable_name,field,verdict,action,old_value,new_or_si_value,si_quote,supp_source,verify_decision,verify_reason
10_1016_j_engappai_2025_111938,performance_metrics_classical,appends_extra,applied:append,MobileViT accuracy (stage)=93; MobileViT accuracy (zone)=95; MobileViT accuracy (plus)=94.17; Classical CNN accuracy (stage)=65.25; Classical CNN accuracy (zone)=75.63; Classical CNN accuracy (plus)=77.50,"MobileViT accuracy (stage)=93; MobileViT accuracy (zone)=95; MobileViT accuracy (plus)=94.17; Classical CNN accuracy (stage)=65.25; Classical CNN accuracy (zone)=75.63; Classical CNN accuracy (plus)=77.50; SIFT+SVM (handcrafted feature classifier, ROP stage) accuracy=59.50; AUC=0.75",Table A1: Performance of ML classifiers on the classification of different stages of ROP using MultiResUnet,1-s2.0-S0952197625019402-mmc1.docx,accept,"Table A1 reports a SIFT handcrafted-feature + SVM classifier on ROP stage classification with accuracy 59.50 and AUC 0.75; a legitimate additional classical metric on the paper's own data, not a control dataset."
10_1016_j_ijrobp_2026_03_010,explainability_mechanism,confirms,noop:confirms,classical_XAI,classical_XAI,,mmc1.docx_image2.png,accept,"SI image2 is a SHAP summary plot, a classical XAI technique, consistent with the extracted classical_XAI mechanism."
10_1016_j_ijrobp_2026_03_010,explainability_method_name,confirms,noop:confirms,Grad-CAM; SHAP (Shapley Additive Explanation); t-SNE (t-distributed stochastic neighbor embedding),SHAP (Shapley Additive Explanation),,mmc1.docx_image2.png,accept,"SI image2 is titled 'SHAP Summary Plot (Q+D+C Features, Top 20)', legibly confirming SHAP, which is part of the extracted method list."
10_1016_j_inffus_2023_101913,code_release,contradicts,annotated:contradiction,FALSE,True,It has been uploaded.,README.md,accept,"The SI is an author code repository (README plus git config pointing to a GitHub remote), and the QCNN code 'has been uploaded', so code_release should be true."
10_1016_j_inffus_2023_101913,code_url,fills_blank,applied:fill,,https://github.com/WindMoon12/QNMF,https://github.com/WindMoon12/QNMF.git,config,accept,"The git config records the origin remote URL for the author's QNMF repository, matching the proposed value."
10_1016_j_knosys_2023_110413,simulator_framework,appends_extra,applied:append,other,other; Qiskit,"from qiskit import QuantumRegister, ClassicalRegister",Explainable Quantum Clusteirng.ipynb,accept,"The notebook imports Qiskit and uses its Aer qasm_simulator, confirming Qiskit as the simulator framework."
10_1016_j_knosys_2023_110413,image_encoding,contradicts,annotated:contradiction,amplitude,angle,"qc.u3(theta_list[0], phi_list[0], 0, qreg[0])",Explainable Quantum Clusteirng.ipynb,accept,"Data is encoded via u3 rotation gates using theta/phi angles derived from feature values, which is angle encoding, contradicting the extracted amplitude encoding for the same encoding step."
10_1016_j_knosys_2023_110413,shot_count,fills_blank,applied:fill,not_reported,5000 shots,shots=5000,Explainable Quantum Clusteirng.ipynb,accept,"The circuit is executed with shots=5000, a plausible shot count, filling the not_reported blank."
10_1016_j_knosys_2023_110413,cross_validation_strategy,fills_blank,applied:fill,not_reported,single holdout train/test split (test_size=0.25),test_size=0.25,Explainable Quantum Clusteirng.ipynb,accept,"The notebook uses a single train_test_split with test_size=0.25, confirming a single holdout split."
10_1038_s41598_023_41700_6,dataset_type,appends_extra,applied:append,synthetic,synthetic; real,Experimental dataset obtained from Kaggle,quantum supremacy(Body CT image 50x50 - limited_angles).ipynb,accept,"The Body CT notebook loads a real DICOM dataset downloaded from Kaggle via pydicom, so a 'real' dataset_type is genuinely present alongside the synthetic Shepp-Logan phantom."
10_1038_s41598_023_41700_6,qubit_count,contradicts,not_applied:reject,,,Total qubit numbers: 169,Readme.md,reject,"The 169 qubits are explicitly for the 15x15 binary Shepp-Logan sub-study; the paper spans multiple image sizes (2x2, 30x30, 50x50) each with its own qubit count, so this is a per-configuration value, not a same-configuration contradiction."
10_1038_s41598_023_41700_6,shot_count,contradicts,not_applied:reject,,,"10,000 shots for each time",Readme.md,reject,"The 10,000 shots are tied specifically to the QPU solver Advantage_system6.1 run on the 15x15 phantom; other notebooks use LeapHybridSampler or num_reads of 100/500, so this is a per-configuration value rather than a same-configuration disagreement with the extracted 1000 annealings."
10_1038_s41598_023_41700_6,performance_metrics_quantum,appends_extra,applied:append,"relative error=0; minimum energy (hybrid solver)=− 225, 518.910675; relative error of energy=less than 0.01%","relative error=0; minimum energy (hybrid solver)=− 225, 518.910675; relative error of energy=less than 0.01%; {""metric_name"": ""lowest energy (Shepp-Logan 15x15, hybrid solver)"", ""value"": ""-8273.12""}",The lowest energy: -8273.12,Readme.md,accept,The lowest energy -8273.12 for the 15x15 Shepp-Logan hybrid-solver reconstruction is stated verbatim and is a distinct metric of the paper's own method.
10_1038_s41598_023_41700_6,paradigm,contradicts,annotated:contradiction,QAOA,quantum annealing (QUBO),"sampleset = sampler_auto.sample_qubo(Q, num_reads=100)",ax_b.ipynb,accept,"All notebooks (toy and main) use D-Wave quantum annealing on QUBO (DWaveSampler/LeapHybridSampler with sample_qubo, Advantage_system6.1), which genuinely contradicts the extracted QAOA paradigm."
10_1038_s41598_026_35605_3,data_identifier,contradicts,annotated:contradiction,https://medmnist.com/,https://zenodo.org/records/15058309,available at &lt;https://zenodo.org/records/15058309&gt;,README.md,accept,"The SI README gives a paper-specific Zenodo record hosting the actual MedMNIST-based files used for training/testing, which is a real data identifier differing from the generic medmnist.com in the extraction; it refers to this paper's own dataset, not a control."
10_1038_s41598_026_38063_z,dataset_name,appends_extra,applied:append,OIA-ODIR,OIA-ODIR; DRIVE,drive-digital-retinal-images-for-vessel-extraction,Quantum_CNN_DRIVE93_75.ipynb,accept,"The notebook downloads and trains on the DRIVE retinal fundus dataset, a legitimate medical imaging dataset used in this study (not a toy/control), distinct from the extracted OIA-ODIR."
10_1038_s41598_026_38063_z,code_url,contradicts,annotated:contradiction,https://doi.org/10.5281/zenodo.18362397,https://github.com/mikiluque/Hybrid-QNN-for-Fundus-Images,https://github.com/mikiluque/Hybrid-QNN-for-Fundus-Images,README.md,accept,"The README supplies this paper's GitHub repository URL, which differs from the extracted Zenodo DOI; the SI value refers to the same quantity (the code location) and is grounded verbatim."
10_1038_s41598_026_40127_z,anatomy,appends_extra,applied:append,oncology,oncology; kidney,kidney and kidney tumor segmentation,README.md,accept,"The SI is the KiTS19 kidney tumor segmentation dataset README, which explicitly concerns kidney anatomy; appending 'kidney' as anatomy is grounded."
10_1038_s41598_026_42047_4,anatomy,appends_extra,applied:append,oncology,oncology; bladder,Bladder Cancer Using Multimodal Data,README.md,accept,"The SI README title explicitly identifies bladder cancer as the study anatomy/site, complementing the extracted generic 'oncology'."
10_1038_s41598_026_42047_4,simulator_framework,fills_blank,applied:fill,,PennyLane,PennyLane==0.37.0,README.md,accept,"The SI requirements list pins PennyLane, the quantum simulation framework used for the hybrid QCNN; the field was blank."
10_1038_s43588_022_00351_9,dataset_name,appends_extra,applied:append,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset; Fashion MNIST dataset,the Fashion MNIST dataset,README.md,accept,"The README explicitly lists Fashion MNIST as one of the three datasets provided and studied in this quantum ML paper (alongside the already-extracted medical and MNIST sets), so it is genuine study data, not a control ablation."
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,applied:fill,,Yao.jl,[Yao](https://github.com/QuantumBFS/Yao.jl) - A framework for Quantum Algorithm Design,README.md,accept,"The README states the numerical simulations are built with Yao (Yao.jl), matching the proposed value."
10_1038_s43588_022_00351_9,ansatz_family,confirms,noop:confirms,blocks of single-qubit rotational gates followed by two layers of CNOT gates,blocks of single-qubit rotational gates followed by two layers of CNOT gates,,fig2.pdf p1,accept,"Fig2b legibly shows the ansatz as per-qubit single-qubit rotation blocks (Rx green, Rz orange) followed by layers of CNOT gates over the ten qubits, matching the extracted description."
10_1038_s43588_022_00351_9,qubit_count,confirms,noop:confirms,ten qubits,ten qubits,,fig3.pdf p1,accept,"Fig3 clearly labels the qubits Q1 through Q10, confirming ten qubits."
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,skip:cell_not_blank,Yao.jl,Yao,"using Yao, BitBasis, CuYao, YaoExtensions, Yao.AD, Zygote, YaoPlots",demo2_QNN_adversarial_learning.ipynb,accept,cell already had a value; fill skipped to protect extraction
10_1038_s43588_022_00351_9,weights_release,contradicts,annotated:contradiction,FALSE,True,"trained_params = reshape(var1[""thetas""],(260,));",demo2_QNN_adversarial_learning.ipynb,accept,"The demo2 notebook loads and reshapes stored trained parameters (thetas), so trained weights are released in the supplement, contradicting the extracted FALSE."
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,skip:cell_not_blank,Yao.jl,Yao / CuYao (Julia),"using Yao, BitBasis, CuYao, YaoExtensions, Yao.AD, Zygote, YaoPlots",demo1_QNN_training_notebook.ipynb,accept,cell already had a value; fill skipped to protect extraction
10_1038_s43588_022_00351_9,dataset_name,appends_extra,applied:append,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset; Fashion MNIST dataset,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset; Fashion MNIST dataset; FashionMNIST,FashionMNIST_BE_20220208_1.mat,plot_mnist.ipynb,accept,"The FashionMNIST .mat file loaded in plot_mnist is the same Fashion MNIST dataset the README lists as one of the paper's three study datasets, used experimentally for encoding benchmarks, not a toy control."
10_1088_2058_9565_ae24a8,dataset_size_val,fills_blank,applied:fill,not_reported,FruitSeg30: 68 validation images (607 train / 68 val / 76 test split),"(607, 68, 76)",data.ipynb,accept,"data.ipynb splits the dataset and outputs (607, 68, 76) as len(image_train), len(image_val), len(image_test), confirming 68 validation images; this is the paper's own segmentation dataset used across all notebooks."
10_1088_2058_9565_ae24a8,ansatz_family,fills_blank,applied:fill,not_reported,quantum convolutional neural network (QCNN),"def qcnn(inputs, weight_0, weight_1)",qcnn_res-tiny.ipynb,accept,"The notebook defines a QCNN quantum node (def qcnn) with angle embedding and parameterized convolution/pooling layers, confirming the ansatz family is a QCNN."
10_1088_2058_9565_ae24a8,shot_count,fills_blank,applied:fill,not_reported,"None (analytical simulator, shots=None)",shots=None,qcnn_res-tiny4.ipynb,accept,"The PennyLane device is explicitly configured with shots=None and labelled as an analytical simulator, confirming no finite shot count was used."
10_1109_tce_2024_3351649,paradigm,contradicts,annotated:contradiction,VQE,VQC,Variational Quantum Classifiers (VQC),README.MD,accept,"The SI throughout (title, README abstract, and notebook using qiskit's VQC classifier) uses Variational Quantum Classifiers (VQC), not VQE; the extraction's VQE is wrong for the same paradigm field."
10_1371_journal_pone_0331870,paradigm,confirms,noop:confirms,hybrid_quantum_classical,hybrid_quantum_classical,,Fig5.pdf p1,accept,"Fig5 legibly shows a classical CNN (conv/pooling/dropout/flatten) feeding a PQC with qubits, data encoding, and ansatz, confirming a hybrid quantum-classical paradigm; the README title corroborates it."
10_1371_journal_pone_0331870,dataset_name,appends_extra,not_applied:reject,,,mnist_0v1_2qubits_r1.csv,model-classification-control-eda.ipynb,reject,"MNIST appears only in the control experiments (paths under models\classification\control\mnist); the study dataset is OASIS-2, so MNIST is a control, not the paper's dataset."
10_1371_journal_pone_0331870,simulator_framework,contradicts,annotated:contradiction,Qiskit_Aer; Qiskit_Aer,Qiskit primitives (StatevectorEstimator),from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-sagittal-2qubits-r5.ipynb,accept,"The sagittal-2qubits training notebook imports StatevectorEstimator from qiskit.primitives with no Aer usage anywhere, so the extracted Qiskit_Aer is contradicted by the actual simulator used in the same training configuration."
10_1371_journal_pone_0331870,dataset_type,appends_extra,applied:append,public_benchmark,public_benchmark; synthetic,/kaggle/working/synthetic,oasis-2-diffusion-train-sagittal.ipynb,accept,"The paper trains diffusion models that generate synthetic minority-class images used to balance the OASIS-2 training set, making 'synthetic' a genuine additional dataset_type for this study."
10_1371_journal_pone_0331870,simulator_framework,appends_extra,applied:append,Qiskit_Aer; Qiskit_Aer,Qiskit_Aer; Qiskit_Aer; Qiskit_StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-3-plane-2qubits.ipynb,accept,"The 3-plane-2qubits notebook imports StatevectorEstimator from qiskit.primitives, grounding the added value; no Aer is present."
10_1371_journal_pone_0331870,simulator_framework,contradicts,annotated:contradiction,Qiskit_Aer; Qiskit_Aer; Qiskit_StatevectorEstimator,Qiskit primitives StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-sagittal-ss-3qubits.ipynb,accept,"The sagittal-ss-3qubits notebook uses qiskit.primitives StatevectorEstimator, not Aer, contradicting the extracted Qiskit_Aer for the same simulation setup."
10_1371_journal_pone_0331870,simulator_framework,appends_extra,applied:append,Qiskit_Aer; Qiskit_Aer; Qiskit_StatevectorEstimator,Qiskit_Aer; Qiskit_Aer; Qiskit_StatevectorEstimator; Qiskit StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-coronal-ss-3qubits.ipynb,accept,"The coronal-ss-3qubits notebook imports StatevectorEstimator from qiskit.primitives, grounding the added value; no Aer usage found."
10_3390_ai6020036,dataset_size_train,fills_blank,applied:fill,not_reported,50000 (CIFAR-10 train),n_train = 50000,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,"The q4 notebook sets n_train = 50000 for the CIFAR-10 dataset, which is a dataset already reported in the extraction, so the value is grounded and plausible."
10_3390_ai6020036,dataset_size_test,fills_blank,applied:fill,not_reported,10000 (CIFAR-10 test),n_test = 10000,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,"The q4 notebook sets n_test = 10000 for the CIFAR-10 dataset, grounded and plausible as the full CIFAR-10 test split."
10_3390_ai6020036,performance_metrics_quantum,appends_extra,applied:append,"AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-QCn, DermaMNIST)=0.839; AUCmicro (HNN-QC5, CIFAR-10)=0.964; accuracy (HNN-QC5, CIFAR-10)=0.769; AUC=0.8; accuracy=0.7","AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-QCn, DermaMNIST)=0.839; AUCmicro (HNN-QC5, CIFAR-10)=0.964; accuracy (HNN-QC5, CIFAR-10)=0.769; AUC=0.8; accuracy=0.7; accuracy (HYBRID W4, CIFAR-10, KFold mean)=0.71074",0.71074,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,"The q4 (QC4/HYBRID W4) notebook reports Accuracy_KF_mean = 0.71074 for the hybrid model on CIFAR-10, a distinct configuration from the QC5 values already in the extraction, so it is a valid append."
10_3390_ai6020036,dataset_size_train,fills_blank,skip:cell_not_blank,50000 (CIFAR-10 train),50000 (CIFAR-10),n_train = 50000,cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,cell already had a value; fill skipped to protect extraction
10_3390_ai6020036,dataset_size_test,fills_blank,skip:cell_not_blank,10000 (CIFAR-10 test),10000 (CIFAR-10),n_test = 10000,cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,cell already had a value; fill skipped to protect extraction
10_3390_ai6020036,performance_metrics_quantum,appends_extra,applied:append,"AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-QCn, DermaMNIST)=0.839; AUCmicro (HNN-QC5, CIFAR-10)=0.964; accuracy (HNN-QC5, CIFAR-10)=0.769; AUC=0.8; accuracy=0.7; accuracy (HYBRID W4, CIFAR-10, KFold mean)=0.71074","AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-QCn, DermaMNIST)=0.839; AUCmicro (HNN-QC5, CIFAR-10)=0.964; accuracy (HNN-QC5, CIFAR-10)=0.769; AUC=0.8; accuracy=0.7; accuracy (HYBRID W4, CIFAR-10, KFold mean)=0.71074; AUCmacro (HNN-QC5, CIFAR-10)=0.960","AUC_macro_OoF  AUC_micro_OoF
0  HYBRID_Y_W4_S1   SINGLE       0.959983       0.964754",cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,accept,"The q5 (QC5) notebook OoF results give AUC_macro_OoF = 0.959983 (~0.960) for HYBRID_Y_W4_S1 on CIFAR-10; the AUCmicro OoF (0.964) is already in the extraction so the macro value is a consistent, real additional metric."
10_3390_ai6020036,performance_metrics_classical,appends_extra,applied:append,"AUCmicro (baseline, DermaMNIST)=0.880; AUCmacro (baseline, DermaMNIST)=0.944; accuracy (baseline, DermaMNIST)=0.701; AUCmicro (baseline, CIFAR-10)=0.961; accuracy (baseline, CIFAR-10)=0.735","AUCmicro (baseline, DermaMNIST)=0.880; AUCmacro (baseline, DermaMNIST)=0.944; accuracy (baseline, DermaMNIST)=0.701; AUCmicro (baseline, CIFAR-10)=0.961; accuracy (baseline, CIFAR-10)=0.735; AUCmacro (baseline, CIFAR-10)=0.955",0.954858,cifar10-full-classic-lcnet050-mb1-trial07-batch-64.ipynb,accept,"The classical baseline notebook reports AUC_macro_KF_mean = 0.954858 (~0.955) for CLASSIC_CVA on CIFAR-10, a real additional classical metric consistent with the already-extracted CIFAR-10 baseline values."
10_3390_computation13120278,performance_metrics_classical,appends_extra,applied:append,DermaMNIST accuracy (LCNet050 classic)=0.5457; DermaMNIST accuracy (LCNet075 classic)=0.5720; DermaMNIST macro-AUC (LCNet050 classic)=0.8310; DermaMNIST micro-AUC (LCNet050 classic)=0.8919; DermaMNIST macro-AUC (LCNet075 classic)=0.8391; DermaMNIST micro-AUC (LCNet075 classic)=0.9028; CIFAR-10 accuracy (LCNet050 classic)=0.7103; CIFAR-10 accuracy (LCNet075 classic)=0.7490; CIFAR-10 macro-AUC (LCNet050 classic)=0.9578,DermaMNIST accuracy (LCNet050 classic)=0.5457; DermaMNIST accuracy (LCNet075 classic)=0.5720; DermaMNIST macro-AUC (LCNet050 classic)=0.8310; DermaMNIST micro-AUC (LCNet050 classic)=0.8919; DermaMNIST macro-AUC (LCNet075 classic)=0.8391; DermaMNIST micro-AUC (LCNet075 classic)=0.9028; CIFAR-10 accuracy (LCNet050 classic)=0.7103; CIFAR-10 accuracy (LCNet075 classic)=0.7490; CIFAR-10 macro-AUC (LCNet050 classic)=0.9578; CIFAR-10 micro-AUC (LCNet050 classic)=0.9624,0.962411,cifar10-classic-q5-w4-lcnet050-mb1-batch-64-t.ipynb,accept,"The classic CIFAR-10 LCNet050 notebook's saved AUC table shows CLASSIC_CVA micro-AUC mean = 0.962411, matching si_value 0.9624; the extraction already holds the classic macro-AUC (0.9578) for the same config, so the micro-AUC is a genuine additional metric of the paper's own study."
